"full_text","url","user_id_str","created_at"
"shortly before Vesna loaded its 1st Russian cargo from the Baltic port of Ust Luga on Feb 14 registered ownership details changed. we have beneficial owner as China state-govt owned Cosco. Many of these dark fleet vessels serving China in this way can be traced back to Cosco. https://t.co/BXe7Zuu16b","https://twitter.com/Michellewb_/status/1630717188125626368","17762236","Tue Feb 28 23:50:49 +0000 2023"
"@ShooguhLipz No. It does not. China and Russia, are global masters of malign influence operations. 

2 things can be true at once. This story is all about a political hit job AND China is a malignant authoritarian country that has peddled influence for years.","https://twitter.com/HeatherMoAndCo/status/1630716678278397959","58413196","Tue Feb 28 23:48:48 +0000 2023"
"China's Foreign Ministry claimed that the country has been ""open and transparent” about its efforts to trace the origins of COVID-19 and accused the U.S. of politicizing the issue.

https://t.co/hdAJ1c7PdW","https://twitter.com/axios/status/1630718140127621120","800707492346925056","Tue Feb 28 23:54:36 +0000 2023"
"China says its emissions went *up* in 2022 -- bad!

Outside experts think they might actually have gone *down* in 2022 -- good!?

@lili_pike explains some weirdness: 

https://t.co/AXqbjeuBAR","https://twitter.com/davelevitan/status/1630717119980797952","21495286","Tue Feb 28 23:50:33 +0000 2023"
"‘Economic Nato’ alliance, other ideas to counter China proposed by US lawmakers https://t.co/c6LSSLi0Fp","https://twitter.com/SCMPNews/status/1630716413353533440","23922797","Tue Feb 28 23:47:44 +0000 2023"
"@RepAshleyHinson @committeeonccp Are you able to say the word ""China"" without putting the word ""communist"" before it? Just asking because it makes you look stupid every time you do it.","https://twitter.com/OfficialSPGB/status/1630718966929805312","252679436","Tue Feb 28 23:57:53 +0000 2023"
"Raskin: Trump on more than 20 different occasions defended the performance of the Chinese government in terms of COVID.. so if there is a problem with the Chinese government unleashing the virus.. you would have to pin that on your favorite President Donald Trump not Joe Biden https://t.co/S2d0jflOeq","https://twitter.com/Acyn/status/1630609204842201088","16635277","Tue Feb 28 16:41:44 +0000 2023"
"PRISONED CHILDREN IN ONE TYPE UNIFORM

China sending children of exiled Uighur parents to orphanages

The Chinese government runs the Orphanages like a genocide camp, regardless of whether they are children! https://t.co/7RztckeiGU","https://twitter.com/UyghurReports/status/1630432204118536192","1628232225861824512","Tue Feb 28 04:58:24 +0000 2023"
"The origins of Covid were never a secret. The real story — the greatest outrage — is that the people who knew or should have known the truth lied about it in order to hide the Chinese government’s role in mass murder. https://t.co/Z1gJxsDQHc","https://twitter.com/TuckerCarlson/status/1630382276058947584","22703645","Tue Feb 28 01:40:00 +0000 2023"
"“China targeted Justin Trudeau in a foreign influence operation,” “Beijing diplomat instructed Zhang to donate $1-million to the Trudeau Foundation,” “the Chinese government would reimburse him for the entire amount…” 

Read more at the Globe and Mail: https://t.co/Ynn83IETKL https://t.co/BVYjp35OJP","https://twitter.com/LarryBrockMP/status/1630563530888937472","1450166488640405512","Tue Feb 28 13:40:14 +0000 2023"
